match,league,behind_bookie,behind_time,correct_time,correct_bookies,gap_minutes,window_until,strategy,confidence
Manchester City vs Salford City,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Getafe CF vs Villarreal CF,Football,Xscores,17:15,18:15,['Odibets'],60.0,17:15,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:15 (per Xscores) but actually at 18:15 (per Odibets). You can bet on Xscores website until 17:15!,HIGH
Sevilla FC vs Deportivo Alaves,Football,Xscores,19:30,20:30,['Odibets'],60.0,19:30,🎯 PROFIT: Xscores is 60min behind. Match starts at 19:30 (per Xscores) but actually at 20:30 (per Odibets). You can bet on Xscores website until 19:30!,HIGH
Portsmouth FC vs Sheffield United,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Queens Park Rangers vs Blackburn Rovers,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Sheffield Wednesday vs Millwall FC,Football,Betika,15:00,18:00,['Odibets'],180.0,15:00,🎯 PROFIT: Betika is 180min behind. Match starts at 15:00 (per Betika) but actually at 18:00 (per Odibets). You can bet on Betika website until 15:00!,HIGH
Southampton FC vs Leicester City,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Burnley FC vs Mansfield Town,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Manchester City vs Salford City,Football,Betika,15:00,18:00,['Odibets'],180.0,15:00,🎯 PROFIT: Betika is 180min behind. Match starts at 15:00 (per Betika) but actually at 18:00 (per Odibets). You can bet on Betika website until 15:00!,HIGH
Standard Liege vs Union Saint-Gilloise,Football,Xscores,21:45,22:45,['Odibets'],60.0,21:45,🎯 PROFIT: Xscores is 60min behind. Match starts at 21:45 (per Xscores) but actually at 22:45 (per Odibets). You can bet on Xscores website until 21:45!,HIGH
Mamelodi Sundowns FC vs MC Alger,CCL,Betika,13:00,15:00,['Xscores'],120.0,13:00,🎯 PROFIT: Betika is 120min behind. Match starts at 13:00 (per Betika) but actually at 15:00 (per Xscores). You can bet on Betika website until 13:00!,HIGH
Imisli FK vs Qarabag FK,PL,Xscores,16:00,10:30,['Betika'],1110.0,16:00,🎯 PROFIT: Xscores is 1110min behind. Match starts at 16:00 (per Xscores) but actually at 10:30 (per Betika). You can bet on Xscores website until 16:00!,HIGH
Akritas Chlorakas vs Aris Limassol,CL,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Karvina vs Slavia Prague,1L,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Como vs Fiorentina,SA,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Werder Bremen vs Bayern Munich,B,Betika,14:30,16:30,['Xscores'],120.0,14:30,🎯 PROFIT: Betika is 120min behind. Match starts at 14:30 (per Betika) but actually at 16:30 (per Xscores). You can bet on Betika website until 14:30!,HIGH
Glenavon vs Linfield,P,Betika,15:00,17:00,['Xscores'],120.0,15:00,🎯 PROFIT: Betika is 120min behind. Match starts at 15:00 (per Betika) but actually at 17:00 (per Xscores). You can bet on Betika website until 15:00!,HIGH
Glentoran vs Ballymena United,P,Betika,15:00,17:00,['Xscores'],120.0,15:00,🎯 PROFIT: Betika is 120min behind. Match starts at 15:00 (per Betika) but actually at 17:00 (per Xscores). You can bet on Betika website until 15:00!,HIGH
Lazio vs Atalanta,SA,Betika,17:00,19:00,['Xscores'],120.0,17:00,🎯 PROFIT: Betika is 120min behind. Match starts at 17:00 (per Betika) but actually at 19:00 (per Xscores). You can bet on Betika website until 17:00!,HIGH
Aston Villa vs Newcastle,FAC,Betika,17:45,19:45,['Xscores'],120.0,17:45,🎯 PROFIT: Betika is 120min behind. Match starts at 17:45 (per Betika) but actually at 19:45 (per Xscores). You can bet on Betika website until 17:45!,HIGH
Real Madrid vs Real Sociedad,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Getafe CF vs Villarreal CF,Football,Xscores,17:15,18:15,['Odibets'],60.0,17:15,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:15 (per Xscores) but actually at 18:15 (per Odibets). You can bet on Xscores website until 17:15!,HIGH
Sevilla FC vs Deportivo Alaves,Football,Xscores,19:30,20:30,['Odibets'],60.0,19:30,🎯 PROFIT: Xscores is 60min behind. Match starts at 19:30 (per Xscores) but actually at 20:30 (per Odibets). You can bet on Xscores website until 19:30!,HIGH
Portsmouth FC vs Sheffield United,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Queens Park Rangers vs Blackburn Rovers,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Sheffield Wednesday vs Millwall FC,Football,Betika,15:00,18:00,['Odibets'],180.0,15:00,🎯 PROFIT: Betika is 180min behind. Match starts at 15:00 (per Betika) but actually at 18:00 (per Odibets). You can bet on Betika website until 15:00!,HIGH
Southampton FC vs Leicester City,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Burnley FC vs Mansfield Town,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Manchester City vs Salford City,Football,Betika,15:00,18:00,['Odibets'],180.0,15:00,🎯 PROFIT: Betika is 180min behind. Match starts at 15:00 (per Betika) but actually at 18:00 (per Odibets). You can bet on Betika website until 15:00!,HIGH
Standard Liege vs Union Saint-Gilloise,Football,Xscores,21:45,22:45,['Odibets'],60.0,21:45,🎯 PROFIT: Xscores is 60min behind. Match starts at 21:45 (per Xscores) but actually at 22:45 (per Odibets). You can bet on Xscores website until 21:45!,HIGH
Imisli FK vs Qarabag FK,PL,Betika,10:30,12:30,['Xscores'],120.0,10:30,🎯 PROFIT: Betika is 120min behind. Match starts at 10:30 (per Betika) but actually at 12:30 (per Xscores). You can bet on Betika website until 10:30!,HIGH
Mamelodi Sundowns FC vs MC Alger,CCL,Betika,13:00,15:00,['Xscores'],120.0,13:00,🎯 PROFIT: Betika is 120min behind. Match starts at 13:00 (per Betika) but actually at 15:00 (per Xscores). You can bet on Betika website until 13:00!,HIGH
Akritas Chlorakas vs Aris Limassol,CL,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Karvina vs Slavia Prague,1L,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Como vs Fiorentina,SA,Betika,14:00,16:00,['Xscores'],120.0,14:00,🎯 PROFIT: Betika is 120min behind. Match starts at 14:00 (per Betika) but actually at 16:00 (per Xscores). You can bet on Betika website until 14:00!,HIGH
Werder Bremen vs Bayern Munich,B,Betika,14:30,16:30,['Xscores'],120.0,14:30,🎯 PROFIT: Betika is 120min behind. Match starts at 14:30 (per Betika) but actually at 16:30 (per Xscores). You can bet on Betika website until 14:30!,HIGH
Glenavon vs Linfield,P,Betika,15:00,17:00,['Xscores'],120.0,15:00,🎯 PROFIT: Betika is 120min behind. Match starts at 15:00 (per Betika) but actually at 17:00 (per Xscores). You can bet on Betika website until 15:00!,HIGH
Glentoran vs Ballymena United,P,Betika,15:00,17:00,['Xscores'],120.0,15:00,🎯 PROFIT: Betika is 120min behind. Match starts at 15:00 (per Betika) but actually at 17:00 (per Xscores). You can bet on Betika website until 15:00!,HIGH
Lazio vs Atalanta,SA,Betika,17:00,19:00,['Xscores'],120.0,17:00,🎯 PROFIT: Betika is 120min behind. Match starts at 17:00 (per Betika) but actually at 19:00 (per Xscores). You can bet on Betika website until 17:00!,HIGH
Aston Villa vs Newcastle,FAC,Betika,17:45,19:45,['Xscores'],120.0,17:45,🎯 PROFIT: Betika is 120min behind. Match starts at 17:45 (per Betika) but actually at 19:45 (per Xscores). You can bet on Betika website until 17:45!,HIGH
Real Madrid vs Real Sociedad,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
